Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,88550.22061,73174.17547,63594.71184,79316.41031,32050.14505,69046.02982
FA2,304329.7476,274054.5524,231013.2362,252980.2961,209143.6926,245478.5437
FA3,57963.92958,53035.33045,45045.03618,49251.74893,40775.03084,47623.3477
FA4,69300.90126,57969.92479,63769.84442,69777.47049,19359.26834,57573.0133
ST1,336318.3103,242963.8771,260628.3079,277590.8982,98011.01752,253072.9694
SP1,124915.5261,178870.2328,108048.6177,141512.6397,41205.60627,104341.2422
SP2,27609.02591,77932.05375,50691.80634,35376.24968,233133.8989,50933.78379
SP3,60721.77197,148211.6963,101218.7275,79130.63758,399876.4121,104386.2879
SP4,53455.91719,142116.1512,97744.1645,77220.93384,415949.7888,102521.87
GP1,470236.9228,516428.2093,466943.2768,476375.0185,152047.6262,421711.5303
GP2,366642.3274,396735.2402,366904.5833,374202.5071,128184.1354,334779.8292
GP3,106020.5247,112358.7054,106051.2295,106991.1971,36221.51775,96654.39012
GP4,31723.68323,87754.23338,57449.29668,49173.46081,231411.5272,62648.42057
